# PAR,T_day
4.164451939166665966e+02,2.640070500000000209e+01
5.715880168749999939e+02,2.556119999999999948e+01
5.112297558333333996e+02,2.529840000000000089e+01
3.391251645833334010e+02,2.483978772000000035e+01
4.880956845833333659e+02,2.091587192000000073e+01
5.548181333333333214e+02,1.672280000000000300e+01
5.839316504166666846e+02,1.913720000000000354e+01
5.726422631249999995e+02,2.272799999999999798e+01
4.581934070833333408e+02,2.380519999999999570e+01
5.830006960416666288e+02,2.004159999999999897e+01
5.278554941666667446e+02,1.787235396000000165e+01
1.816736022500000161e+02,1.844959448000000179e+01
2.359421773333333476e+02,1.964436763999999869e+01
5.524036163749999560e+02,2.053709312000000509e+01
5.467405334999999695e+02,2.344429656000000151e+01
2.709989306250000141e+02,2.295520000000000138e+01
4.745120293749999405e+02,2.350999999999999446e+01
4.017851954166666815e+02,2.181039999999999424e+01
5.167903558333333649e+02,1.818999999999999773e+01
4.408126270833333251e+02,2.330999999999999872e+01
2.831257629166666447e+02,2.270319999999999183e+01
4.323122574999999870e+02,2.452039999999999509e+01
4.716480206250000151e+02,2.618479999999999563e+01
2.853387777083333390e+02,2.404560000000000386e+01
4.501686058333334017e+02,2.575320000000000320e+01
3.095457056249999823e+02,2.421079999999999544e+01
5.052194554166665625e+02,1.714839999999999876e+01
1.848278416666666715e+02,1.273399999999999643e+01
4.943330422916667430e+02,1.446159999999999890e+01
4.749750349999999912e+02,1.578519999999999790e+01
4.868480825000000891e+02,1.924959999999999738e+01
4.391321762499999863e+02,1.998680000000000234e+01
4.827981950000000211e+02,1.600119999999999720e+01
1.196005670833333170e+02,1.241549222000000263e+01
2.964037587500000086e+02,9.090482052000000479e+00
3.501623437499999909e+02,9.899200000000000443e+00
4.636455164583333044e+02,1.179760000000000275e+01
4.540794495833333713e+02,1.561480000000000246e+01
4.509714133333333734e+02,1.909600000000000009e+01
4.570033799999999360e+02,2.068959999999999866e+01
4.450805241666666916e+02,2.306159999999999854e+01
4.267499762499999747e+02,2.458679999999999666e+01
3.629001474999999459e+02,2.376400000000000645e+01
1.738191985416666512e+02,2.160919999999999774e+01
2.694713710416666004e+02,1.675519999999999854e+01
4.271495500000000334e+02,1.303759999999999941e+01
4.025815812499999993e+02,1.363440000000000119e+01
4.212510025000000837e+02,1.407920000000000016e+01
3.909499212500000453e+02,1.766960000000000264e+01
2.991618895833333340e+02,1.251879999999999882e+01
3.813861758333334251e+02,1.158639999999999937e+01
3.953134504166666261e+02,1.436679999999999602e+01
3.995406541666666271e+02,1.280039999999999978e+01
3.931410997916666474e+02,1.318119999999999870e+01
1.489334818749999840e+02,1.781720000000000326e+01
1.565227939583333239e+02,1.929200000000000159e+01
1.334260179166666660e+02,1.827479999999999905e+01
1.554237893749999841e+02,1.708640000000000114e+01
2.997940956249999545e+02,1.513799999999999812e+01
1.046042135416666525e+02,7.588000000000000966e+00
3.615433241666666504e+02,5.951600000000000001e+00
3.278605643750000240e+02,1.029480000000000217e+01
3.535103568750000136e+02,9.161200000000002674e+00
2.472475808333332736e+02,7.028000000000000469e+00
2.249461404166666227e+02,5.621999999999998998e+00
3.123646512500000085e+02,8.038799999999998391e+00
1.774318772916666660e+02,7.405200000000000671e+00
1.446806752083333549e+02,3.616423739999999665e+00
3.199258135416666278e+02,2.684799999999999631e+00
3.251903577083333516e+02,6.468399999999999039e+00
3.196161270833334243e+02,1.338000000000000078e+01
3.144806670833333442e+02,1.564040000000000141e+01
2.512238956250000399e+02,1.728440000000000154e+01
2.986527143750000164e+02,1.832079999999999842e+01
3.128533593750000250e+02,1.742680000000000007e+01
1.112625085416666906e+02,1.342799999999999905e+01
2.926416483333333076e+02,5.645200000000000884e+00
1.780885516666666319e+02,5.475999999999999091e+00
3.126288979166666593e+01,3.764800000000000146e+00
2.498193258333333517e+02,5.786000000000000476e+00
5.870855145833333921e+01,3.990799999999999237e+00
8.448927541666667196e+01,3.664399999999999213e+00
1.127503491666666804e+02,5.601200000000000401e+00
9.447843770833333110e+01,1.296039999999999814e+01
8.021108979166668007e+01,1.871760000000000090e+01
2.627718793749999691e+02,6.095599999999999241e+00
1.712691479166666753e+01,4.987999999999999656e-01
1.631359354166666620e+01,8.517200000000000770e+00
2.658201304166666432e+02,-1.741199999999999859e+00
1.982402127083333028e+02,1.370800000000000018e+00
2.647952437499999974e+02,2.588400000000000478e+00
2.020467206250000061e+02,7.948800000000000310e+00
2.548765791666666303e+01,6.184400000000000119e+00
4.203946958333333583e+01,-2.476799999999999891e+00
1.336533083333333138e+02,-1.422800000000000287e+00
1.939665241666666304e+02,3.348000000000000420e-01
3.824874520833333946e+01,-1.052000000000000268e+00
1.161472879166666559e+02,-3.917599999999999749e+00
2.307851393750000000e+02,-9.973199999999998511e+00
2.493360391666666658e+02,-8.770799999999999486e+00
2.517576224999999965e+02,-8.318399999999998684e+00
1.503167508333333160e+02,-5.433200000000000252e+00
2.271057237499999530e+02,3.213200000000000500e+00
5.756302770833332971e+01,3.598400000000000265e+00
6.282569333333331230e+01,-4.768399999999998862e+00
1.070247170833333286e+02,-9.629599999999999937e+00
2.382712752083333498e+02,-9.980799999999998562e+00
1.671554652083333394e+02,-7.666000000000000369e+00
7.625251958333333846e+01,-4.024000000000000021e+00
6.997416374999998823e+01,-4.456800000000001205e+00
1.965466112499999838e+02,-4.497200000000000308e+00
1.150390166666666687e+02,-3.114400000000000723e+00
1.290527202083333407e+02,-7.092000000000001636e-01
6.530394708333334108e+01,1.325999999999999845e+00
